ID,Name,RA (2000),DEC,L,B,R_Sun,R_gc,X,Y,Z
NGC 104,47 Tuc,00 24 05.67,-72 04 52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1
NGC 288,,00 52 45.24,-26 34 57.4,152.3,-89.38,8.9,12.0,-0.1,0.0,-8.9
NGC 362,,01 03 14.26,-70 50 55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting 1,,02 02 57,-03 15 10,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC 1261,,03 12 16.21,-55 12 58.4,270.54,-52.12,16.3,18.1,0.1,-10.0,-12.9
Pal 1,,03 33 20.04,+79 34 51.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM 1,E 1,03 55 02.3,-49 36 55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3
Eridanus,,04 24 44.5,-21 11 13,218.1,-41.33,90.1,95.0,-53.2,-41.7,-59.5
Pal 2,,04 46 05.91,+31 22 53.4,170.53,-9.07,27.2,35.0,-26.4,4.4,-4.3
NGC 1851,,05 14 06.76,-40 02 47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
