ID,Name,RA (2000),DEC,L,B,R_Sun,R_gc,X,Y,Z
NGC 104,47 Tuc,00 24 05.67,-72 04 52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1
NGC 288,,00 52 45.24,-26 34 57.4,152.30,-89.38,8.9,12.0,-0.1,0.0,-8.9
NGC 362,,01 03 14.26,-70 50 55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting 1,,02 02 57,-03 15 10,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC 1261,,03 12 16.21,-55 12 58.4,270.54,-52.12,16.3,18.1,0.1,-10.0,-12.9
Pal 1,,03 33 20.04,+79 34 51.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM 1,E 1,03 55 02.3,-49 36 55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3
Eridanus,,04 24 44.5,-21 11 13,218.10,-41.33,90.1,95.0,-53.2,-41.7,-59.5
Pal 2,,04 46 05.91,+31 22 53.4,170.53,-9.07,27.2,35.0,-26.4,4.4,-4.3
NGC 1851,,05 14 06.76,-40 02 47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
NGC 1904,M 79,05 24 11.09,-24 31 29.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3
NGC 2298,,06 48 59.41,-36 00 19.1,245.63,-16.00,10.8,15.8,-4.3,-9.4,-3.0
NGC 2419,,07 38 08.47,+38 52 56.8,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2
Ko 2,,07 58 17.0,+26 15 18,195.12,25.54,34.7,41.9,-30.2,-8.2,15.0
Pyxis,,09 07 57.8,-37 13 17,261.32,7.00,39.4,41.4,-5.9,-38.7,4.8
NGC 2808,,09 12 03.10,-64 51 48.6,282.19,-11.25,9.6,11.1,2.0,-9.2,-1.9
E 3,,09 20 57.07,-77 16 54.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6
Pal 3,,10 05 31.9,+00 04 18,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7
NGC 3201,,10 17 36.82,-46 24 44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7
Pal 4,,11 29 16.80,+28 58 24.9,202.31,71.80,108.7,111.2,-31.4,-12.9,103.2
Ko 1,,11 59 18.5,+12 15 36,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6
NGC 4147,,12 10 06.30,+18 32 33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8
NGC 4372,,12 25 45.40,-72 39 32.4,300.99,-9.88,5.8,7.1,2.9,-4.9,-1.0
Rup 106,,12 38 40.2,-51 09 01,300.88,11.67,21.2,18.5,10.7,-17.8,4.3
NGC 4590,M 68,12 39 27.98,-26 44 38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6.0
NGC 4833,,12 59 33.92,-70 52 35.4,303.60,-8.02,6.6,7.0,3.6,-5.4,-0.9
NGC 5024,M 53,13 12 55.25,+18 10 05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6
NGC 5053,,13 16 27.09,+17 42 00.9,335.70,78.95,17.4,17.8,3.0,-1.4,17.1
NGC 5139,omega Cen,13 26 47.24,-47 28 46.5,309.10,14.97,5.2,6.4,3.1,-3.9,1.3
NGC 5272,M 3,13 42 11.62,+28 22 38.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0
NGC 5286,,13 46 26.81,-51 22 27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1
AM 4,,13 56 21.7,-27 10 03,320.28,33.51,32.2,27.8,20.7,-17.2,17.8
NGC 5466,,14 05 27.29,+28 32 04.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3
NGC 5634,,14 29 37.23,-05 58 35.1,342.21,49.26,25.2,21.2,15.7,-5.0,19.1
NGC 5694,,14 39 36.29,-26 32 20.2,331.06,30.36,35.0,29.4,26.4,-14.6,17.7
IC 4499,,15 00 18.45,-82 12 49.3,307.35,-20.47,18.8,15.7,10.7,-14.0,-6.6
NGC 5824,,15 03 58.63,-33 04 05.6,332.56,22.07,32.1,25.9,26.4,-13.7,12.1
Pal 5,,15 16 05.25,-00 06 41.8,0.85,45.86,23.2,18.6,16.2,0.2,16.7
NGC 5897,,15 17 24.50,-21 00 37.0,342.95,30.29,12.5,7.4,10.3,-3.2,6.3
NGC 5904,M 5,15 18 33.22,+02 04 51.7,3.86,46.80,7.5,6.2,5.1,0.3,5.5
NGC 5927,,15 28 00.69,-50 40 22.9,326.60,4.86,7.7,4.6,6.4,-4.2,0.7
NGC 5946,,15 35 28.52,-50 39 34.8,327.58,4.19,10.6,5.8,8.9,-5.6,0.8
BH 176,,15 39 07.45,-50 03 09.8,328.41,4.34,18.9,12.9,16.1,-9.9,1.4
NGC 5986,,15 46 03.00,-37 47 11.1,337.02,13.27,10.4,4.8,9.3,-4.0,2.4
Lynga 7,BH184,16 11 03.65,-55 19 04.0,328.77,-2.80,8.0,4.3,6.8,-4.1,-0.4
Pal 14,AvdB,16 11 00.6,+14 57 28,28.74,42.19,76.5,71.6,49.7,27.3,51.4
NGC 6093,M 80,16 17 02.41,-22 58 33.9,352.67,19.46,10.0,3.8,9.4,-1.2,3.3
NGC 6121,M 4,16 23 35.22,-26 31 32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6
NGC 6101,,16 25 48.12,-72 12 07.9,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2
NGC 6144,,16 27 13.86,-26 01 24.6,351.93,15.70,8.9,2.7,8.5,-1.2,2.4
NGC 6139,,16 27 40.37,-38 50 55.5,342.37,6.94,10.1,3.6,9.6,-3.0,1.2
Terzan 3,,16 28 40.08,-35 21 12.5,345.08,9.19,8.2,2.5,7.8,-2.1,1.3
NGC 6171,M 107,16 32 31.86,-13 03 13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5
1636-283,ESO452-SC11,16 39 25.45,-28 23 55.3,351.91,12.10,8.3,2.1,8.0,-1.1,1.7
NGC 6205,M 13,16 41 41.24,+36 27 35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7
NGC 6229,,16 46 58.79,+47 31 39.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7
NGC 6218,M 12,16 47 14.18,-01 56 54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1
FSR 1735,,16 52 10.6,-47 03 29,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3
NGC 6235,,16 53 25.31,-22 10 38.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7
NGC 6254,M 10,16 57 09.05,-04 06 01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7
